iso3,date,inflation,gdp,population,female_population
ABW,2000,1.02758340167905,2739557506.26564,90866.0,47019.0
ABW,2001,-2.82482461011597,2918819032.73677,92892.0,48249.0
ABW,2002,4.4466037644241,2935918444.3107,94992.0,49506.0
ABW,2003,3.03079849433546,3027419281.49456,97016.0,50706.0
ABW,2004,2.81721365536811,3335031914.00273,98744.0,51716.0
ABW,2005,5.06249126984655,3426372647.33396,100028.0,52454.0
ABW,2006,3.48522647295395,3572323466.89337,100830.0,52895.0
ABW,2007,5.15793661182397,3782481063.48052,101226.0,53086.0
ABW,2008,4.26406334686595,3925705760.82351,101362.0,53109.0
ABW,2009,1.70383781144128,3489264744.4361,101452.0,53112.0
ABW,2010,-1.21664207022754,3434705049.90498,101665.0,53200.0
ABW,2011,4.01181416993168,3624109935.92049,102050.0,53402.0
ABW,2012,0.168847373421684,3552128685.83428,102565.0,53695.0
ABW,2013,-1.9867549668874,3799583106.75231,103165.0,54050.0
ABW,2014,2.33510856206473,3817112401.26825,103776.0,54408.0
ABW,2015,2.53159203921001,3893364333.81628,104339.0,54742.0
ABW,2016,-1.38971311410744,3941567670.02688,104865.0,55044.0
ABW,2017,-1.75393532953404,4097906578.10494,105361.0,55328.0
ABW,2018,2.26327072846355,4248976006.19027,105846.0,55602.0
ABW,2019,5.56880541962809,4234776343.13595,106310.0,55867.0
ABW,2020,-2.90275639903498,3329266442.16036,106766.0,56124.0
AFG,2000,,,20779957.0,10090449.0
AFG,2001,,,21606992.0,10489238.0
AFG,2002,,19805683002.2132,22600774.0,10958668.0
AFG,2003,11.655238211175,21980384805.7144,23680871.0,11466237.0
AFG,2004,11.2714320712639,22889600503.965,24726689.0,11962963.0
AFG,2005,10.9127735539374,26258419343.9137,25654274.0,12414590.0
AFG,2006,7.19975128908025,28518821097.8215,26433058.0,12809162.0
AFG,2007,22.5277561997899,33339216566.7178,27100542.0,13161572.0
AFG,2008,2.09628874882868,35312296534.1449,27722281.0,13496556.0
AFG,2009,-2.16340442783005,43140533617.6219,28394806.0,13850751.0
AFG,2010,3.81463031709113,49929490244.5478,29185511.0,14249755.0
AFG,2011,16.5933467311629,51184181904.4289,30117411.0,14702050.0
AFG,2012,7.30175647136598,59667003515.1962,31161378.0,15196504.0
AFG,2013,4.82278547931647,65039839448.5561,32269592.0,15715314.0
AFG,2014,0.566944540816536,69058343420.1602,33370804.0,16232001.0
AFG,2015,2.44756300204637,71831696727.8086,34413603.0,16727437.0
AFG,2016,-2.19752646590604,70097956089.2877,35383028.0,17196034.0
AFG,2017,2.40365618844285,74711922906.3738,36296111.0,17644126.0
AFG,2018,2.07134857890898,77406520332.6189,37171922.0,18078879.0
AFG,2019,6.52147984507825,81873098235.4889,38041757.0,18512030.0
AFG,2020,7.82166712677619,80911742458.6898,38928341.0,18952076.0
AGO,2000,418.018991534099,53634036387.5119,16395477.0,8240458.0
AGO,2001,106.352125501451,57149055625.1043,16945753.0,8521795.0
AGO,2002,196.984099399931,65971272039.6411,17519418.0,8814755.0
AGO,2003,93.9265669067308,69284751704.3075,18121477.0,9122235.0
AGO,2004,33.4435947900255,78934974922.8255,18758138.0,9447886.0
AGO,2005,42.3742492617284,93646195456.4088,19433604.0,9794134.0
AGO,2006,17.1156651448542,107685602885.876,20149905.0,10162225.0
AGO,2007,4.30843221207182,126090311395.774,20905360.0,10551020.0
AGO,2008,19.3657735558326,142863054035.451,21695636.0,10957506.0
AGO,2009,-16.7621402901592,145015238721.884,22514275.0,11377265.0
AGO,2010,31.6881762457922,153890459472.599,23356247.0,11806970.0
AGO,2011,31.7740748860487,162538811659.181,24220660.0,12245836.0
AGO,2012,7.25783205139932,186124222897.173,25107925.0,12694373.0
AGO,2013,2.84424440365498,199865642365.2,26015786.0,13151985.0
AGO,2014,3.56341330066468,220364785384.766,26941773.0,13618285.0
AGO,2015,-3.51497153517806,204603587403.35,27884380.0,14093136.0
AGO,2016,21.774173527271,204874675222.88,28842482.0,14576127.0
AGO,2017,22.6179364991191,217987313632.157,29816769.0,15067450.0
AGO,2018,28.1670288537532,220257110789.117,30809787.0,15568328.0
AGO,2019,19.1842756572896,222627505703.579,31825299.0,16080520.0
AGO,2020,18.0367682973202,212918601685.596,32866268.0,16605398.0
ALB,2000,5.6474714679938,11926129734.7085,3089027.0,1525873.0
ALB,2001,3.81085737408868,13157356089.9326,3060173.0,1509233.0
ALB,2002,3.6474762708812,14221986237.4723,3051010.0,1506138.0
ALB,2003,5.19863530307683,15198230044.7357,3039616.0,1504374.0
ALB,2004,3.15236892537025,16429415677.4264,3026939.0,1502239.0
ALB,2005,3.30681814689954,17663280434.3643,3011487.0,1497383.0
ALB,2006,2.47818888688769,19650777816.5529,2992547.0,1489229.0
ALB,2007,4.3867093833438,21631651452.0414,2970017.0,1478257.0
ALB,2008,4.11708542559394,24251525378.4462,2947314.0,1466219.0
ALB,2009,2.41833605890835,25800311194.0603,2927519.0,1454862.0
ALB,2011,2.31474379699794,29655555314.7371,2905195.0,1438949.0
ALB,2012,1.04271460643407,30530372661.7232,2900401.0,1433116.0
ALB,2013,0.288745964127756,30603912535.8345,2895092.0,1426832.0
ALB,2014,1.54991706986272,32529194811.0954,2889104.0,1420670.0
ALB,2015,0.563991350160876,33585844099.8588,2880703.0,1414246.0
ALB,2016,-0.632653419095547,34739972822.823,2876101.0,1410814.0
ALB,2017,1.45106269924993,36696816738.7393,2873457.0,1409327.0
ALB,2018,1.47305810274607,38690739287.02,2866376.0,1406333.0
ALB,2019,1.25658995186268,39957029903.0965,2854191.0,1401011.0
ALB,2020,0.678486248525417,38686086930.7895,2837849.0,1393469.0
AND,2000,28.7415528975991,,65390.0,
AND,2001,3.08053517916559,,67344.0,
AND,2002,3.23953176987777,,70048.0,
AND,2003,3.17748421556476,,73180.0,
AND,2004,3.04242399802695,,76250.0,
AND,2005,3.39610212995052,,78871.0,
AND,2006,3.45718408670396,,80995.0,
AND,2007,3.21122734131436,,82682.0,
AND,2008,2.27433831984322,,83860.0,
AND,2009,0.132136132405464,,84461.0,
AND,2010,0.374313758110119,,84454.0,
AND,2011,0.196764152031051,,83748.0,
AND,2012,0.174556905779482,,82427.0,
AND,2013,0.448492200194735,,80770.0,
AND,2014,-0.0840193165570753,,79213.0,
AND,2015,0.660588959137868,,77993.0,
AND,2016,0.347795381575793,,77295.0,
AND,2017,1.13650934319639,,76997.0,
AND,2018,1.01247848005298,,77008.0,
AND,2019,1.37475350829189,,77146.0,
AND,2020,1.11378607410401,,77265.0,
ARE,2000,11.4595357967841,307932754814.621,3134067.0,1016932.0
ARE,2001,-2.34930767171667,319275636772.703,3302722.0,1063983.0
ARE,2002,3.77083954880202,332142171595.33,3478769.0,1113817.0
ARE,2003,4.072406796076,368504523746.285,3711931.0,1173726.0
ARE,2004,8.50142205935694,414595768287.699,4068577.0,1253344.0
ARE,2005,16.5263069319227,448357188723.431,4588222.0,1358723.0
ARE,2006,11.9621492822572,507658889395.611,5300172.0,1492804.0
