iso3,date,life_expectancy,fertility
ABW,2000,73.787,1.872
ABW,2001,73.853,1.846
ABW,2002,73.937,1.823
ABW,2003,74.038,1.803
ABW,2004,74.156,1.787
ABW,2005,74.287,1.774
ABW,2006,74.429,1.765
ABW,2007,74.576,1.76
ABW,2008,74.725,1.759
ABW,2009,74.872,1.761
ABW,2010,75.017,1.768
ABW,2011,75.158,1.779
ABW,2012,75.299,1.795
ABW,2013,75.441,1.813
ABW,2014,75.583,1.834
ABW,2015,75.725,1.854
ABW,2016,75.868,1.872
ABW,2017,76.01,1.886
ABW,2018,76.152,1.896
ABW,2020,76.434,1.901
AFG,2000,55.841,7.485
AFG,2001,56.308,7.387
AFG,2002,56.784,7.272
AFG,2003,57.271,7.148
AFG,2004,57.772,7.016
AFG,2005,58.29,6.875
AFG,2006,58.826,6.722
AFG,2007,59.375,6.555
AFG,2008,59.93,6.373
AFG,2009,60.484,6.18
AFG,2010,61.028,5.977
AFG,2011,61.553,5.77
AFG,2012,62.054,5.562
AFG,2013,62.525,5.359
AFG,2014,62.966,5.163
AFG,2015,63.377,4.976
AFG,2016,63.763,4.8
AFG,2017,64.13,4.633
AFG,2018,64.486,4.473
AFG,2019,64.833,4.321
AFG,2020,65.173,4.176
AGO,2000,46.522,6.639
AGO,2001,47.059,6.601
AGO,2002,47.702,6.567
AGO,2003,48.44,6.533
AGO,2004,49.263,6.499
AGO,2005,50.165,6.461
AGO,2006,51.143,6.419
AGO,2007,52.177,6.372
AGO,2008,53.243,6.32
AGO,2009,54.311,6.26
AGO,2010,55.35,6.194
AGO,2011,56.33,6.12
AGO,2012,57.236,6.039
AGO,2013,58.054,5.953
AGO,2014,58.776,5.864
AGO,2015,59.398,5.774
AGO,2016,59.925,5.686
AGO,2017,60.379,5.6
AGO,2018,60.782,5.519
AGO,2019,61.147,5.442
AGO,2020,61.487,5.371
ALB,2000,73.955,2.157
ALB,2001,74.288,2.068
ALB,2002,74.579,1.981
ALB,2003,74.828,1.897
ALB,2004,75.039,1.821
ALB,2005,75.228,1.755
ALB,2006,75.423,1.704
ALB,2007,75.646,1.671
ALB,2008,75.912,1.654
ALB,2009,76.221,1.652
ALB,2010,76.562,1.66
ALB,2011,76.914,1.673
ALB,2012,77.252,1.684
ALB,2013,77.554,1.69
ALB,2014,77.813,1.688
ALB,2015,78.025,1.677
ALB,2016,78.194,1.659
ALB,2017,78.333,1.638
ALB,2018,78.458,1.617
ALB,2019,78.573,1.597
ALB,2020,78.686,1.58
AND,2000,,
AND,2001,,
AND,2002,,
AND,2003,,
AND,2004,,
AND,2005,,
AND,2006,,1.24
AND,2007,,1.18
AND,2008,,1.25
AND,2009,,1.19
AND,2010,,1.27
AND,2011,,
AND,2012,,
AND,2013,,
AND,2014,,
AND,2015,,
AND,2016,,
AND,2017,,
AND,2018,,
AND,2019,,
AND,2020,,
ARE,2000,74.327,2.644
ARE,2001,74.544,2.533
ARE,2002,74.758,2.432
ARE,2003,74.968,2.337
ARE,2004,75.174,2.247
ARE,2005,75.376,2.161
ARE,2006,75.573,2.081
ARE,2007,75.767,2.006
ARE,2008,75.957,1.939
ARE,2009,76.145,1.877
ARE,2010,76.332,1.819
ARE,2011,76.521,1.763
ARE,2012,76.711,1.708
ARE,2013,76.903,1.651
ARE,2014,77.095,1.595
ARE,2015,77.285,1.541
ARE,2016,77.47,1.491
ARE,2017,77.647,1.448
ARE,2018,77.814,1.413
ARE,2019,77.972,1.387
ARE,2020,78.12,1.369
ARG,2000,73.576,2.542
ARG,2001,73.755,2.512
ARG,2002,73.932,2.486
ARG,2003,74.107,2.461
ARG,2004,74.28,2.438
ARG,2005,74.451,2.416
ARG,2007,74.787,2.38
ARG,2008,74.952,2.366
ARG,2009,75.116,2.355
ARG,2010,75.278,2.346
ARG,2011,75.439,2.338
ARG,2012,75.598,2.33
ARG,2013,75.756,2.322
ARG,2014,75.913,2.312
ARG,2015,76.068,2.301
ARG,2016,76.221,2.288
ARG,2017,76.372,2.275
ARG,2018,76.52,2.261
ARG,2019,76.667,2.247
ARG,2020,76.813,2.233
ARM,2000,71.409,1.648
ARM,2001,71.8,1.634
ARM,2002,72.112,1.635
ARM,2003,72.348,1.645
ARM,2004,72.513,1.659
ARM,2005,72.626,1.675
ARM,2006,72.716,1.69
ARM,2007,72.815,1.702
ARM,2008,72.946,1.712
ARM,2009,73.118,1.719
ARM,2010,73.331,1.722
ARM,2011,73.572,1.724
ARM,2012,73.82,1.725
ARM,2013,74.056,1.728
ARM,2014,74.273,1.732
ARM,2015,74.467,1.738
ARM,2016,74.64,1.744
ARM,2017,74.797,1.75
ARM,2018,74.945,1.755
ARM,2019,75.087,1.758
ARM,2020,75.224,1.76
ASM,2000,,
ASM,2001,,
ASM,2002,,
ASM,2003,,
ASM,2004,,
ASM,2005,,
ASM,2006,,
ASM,2007,,
ASM,2008,,
ASM,2009,,
ASM,2010,,
ASM,2011,,
ASM,2012,,
ASM,2013,,
ASM,2014,,
ASM,2015,,
ASM,2016,,
ASM,2017,,
ASM,2018,,
ASM,2019,,
ASM,2020,,
ATG,2000,73.94,2.2
ATG,2001,74.171,2.187
ATG,2002,74.395,2.166
ATG,2003,74.613,2.14
ATG,2004,74.821,2.109
ATG,2005,75.019,2.077
ATG,2006,75.204,2.048
ATG,2007,75.376,2.023
ATG,2008,75.535,2.005
ATG,2009,75.683,1.993
ATG,2010,75.823,1.988
ATG,2011,75.956,1.989
ATG,2012,76.087,1.993
ATG,2013,76.218,1.998
ATG,2014,76.349,2.001
ATG,2015,76.483,2.003
ATG,2016,76.617,2.003
ATG,2017,76.752,1.999
ATG,2018,76.885,1.994
ATG,2019,77.016,1.987
ATG,2020,77.146,1.978
AUS,2000,79.2341463414634,1.756
AUS,2001,79.6341463414634,1.739
AUS,2002,79.9365853658537,1.756
AUS,2003,80.2390243902439,1.748
AUS,2004,80.490243902439,1.768
AUS,2005,80.8414634146341,1.807
AUS,2006,81.0414634146342,1.908
AUS,2007,81.2926829268293,1.959
AUS,2008,81.3951219512195,1.984
AUS,2009,81.5439024390244,1.971
