iso3,date,gdp,inflation,life_expectancy,fertility,population
ABW,1999,2489269129.82878,2.19006039474596,73.738,1.903,89009.0
AFG,1999,,,55.376,7.561,20170847.0
AGO,1999,50891312281.9503,557.501113091215,46.093,6.683,15866871.0
ALB,1999,10792624922.3438,2.10284998886902,73.587,2.246,3108778.0
AND,1999,,2.73197952535102,,,64368.0
ARE,1999,271631571824.845,8.44337745491752,74.106,2.768,2966029.0
ARG,1999,421755390917.54,-1.83655839220664,73.396,2.577,36467218.0
ARM,1999,7526162157.25132,0.0538040809325366,70.944,1.685,3089020.0
ASM,1999,,,,,57049.0
ATG,1999,1177374335.44101,1.50421516578423,73.705,2.203,74674.0
AUS,1999,478757083927.676,0.487575649141377,78.9317073170732,1.755,18926000.0
AUT,1999,220639956878.73,0.256349694475674,77.8756097560976,1.34,7992324.0
AZE,1999,23955634496.4708,2.16214167529371,66.491,2.07,7982750.0
BDI,1999,3312343716.22962,14.9541402608853,48.339,6.976,6267132.0
BEL,1999,260168701709.78,0.598897782801686,77.619512195122,1.62,10226419.0
BEN,1999,11148038682.5953,48.3425433908146,55.218,6.038,6664102.0
BFA,1999,10259110711.9939,17.3908245064623,50.168,6.65,11282696.0
BGD,1999,157681504550.442,3.78103773718786,64.881,3.269,125189655.0
BGR,1999,47685758137.2379,3.31912931185813,71.4121951219512,1.23,8210624.0
BHR,1999,26004071347.1369,2.65643374278032,74.239,2.856,636540.0
BHS,1999,7835934751.55605,0.223912944601892,71.858,2.166,294063.0
BIH,1999,14957037352.8175,8.35572908019428,74.05,1.562,3743353.0
BLR,1999,53512859527.815,316.793435140463,67.9073170731707,1.31,10026738.0
BLZ,1999,1186222743.75312,-2.25525349765624,68.734,3.703,238979.0
BMU,1999,2982406330.88787,2.7121512028961,,,61285.0
BOL,1999,27574030464.4297,2.41156588906529,61.835,4.133,8257066.0
BRA,1999,1481869627113.38,8.01050087686829,69.769,2.365,172318674.0
BRB,1999,3226526908.05637,4.43342351579929,76.933,1.762,270455.0
BRN,1999,21021308134.4865,11.5939764773489,72.538,2.413,326214.0
BTN,1999,1505995818.20968,6.17025886010222,59.974,3.701,577886.0
BWA,1999,13317602945.8254,14.2352083986974,51.214,3.371,1610260.0
CAF,1999,2459352225.4633,4.08471548975844,44.461,5.52,3558019.0
CAN,1999,846412945809.995,3.07133514189172,78.8853658536585,1.54,30401286.0
CHE,1999,248740021832.269,0.039832310245373,79.580487804878,1.48,7143991.0
CHI,1999,,3.90963039844397,78.742,1.546,147553.0
CHL,1999,136620685313.385,2.18776787074258,76.092,2.11,15162801.0
CHN,1999,3319971595766.32,-1.26305893887778,71.063,1.595,1252735000.0
CIV,1999,52756702600.1526,-0.775911929716116,49.891,5.943,16032573.0
CMR,1999,29608124920.0371,2.18778850065175,50.878,5.645,15112598.0
COD,1999,22097352046.8172,441.902491875352,49.557,6.76,45919615.0
COG,1999,10504103233.1681,29.3553419281933,51.925,4.88,3038432.0
COL,1999,251611632162.076,12.6229408341709,72.619,2.627,38999468.0
COM,1999,860837025.389184,5.81136042283326,59.388,5.466,528853.0
CPV,1999,1109609055.82566,7.61207819396112,68.041,3.697,420456.0
CRI,1999,29206311772.9555,11.0294713533385,77.293,2.459,3885428.0
CUB,1999,,3.78909596676355,76.475,1.603,11084673.0
CUW,1999,,,,,139428.0
CYM,1999,,,,,40423.0
CYP,1999,13501992603.8479,2.30199201920756,77.875,1.783,926049.0
CZE,1999,158333514882.971,3.04179627426102,74.6682926829268,1.13,10283860.0
DEU,1999,2158514818382.19,0.343135141558832,77.7268292682927,1.36,82100243.0
DJI,1999,,,56.992,4.622,699973.0
DMA,1999,433163858.933012,2.53638991143232,,,69828.0
DNK,1999,141846293400.642,1.68475372464907,76.3414634146341,1.73,5321799.0
DOM,1999,53443489094.5434,3.83415440241939,69.175,2.882,8343288.0
DZA,1999,246725425179.206,10.8563363125842,70.183,2.635,30623406.0
ECU,1999,71540165654.7739,-26.2999928320854,72.425,3.166,12442109.0
EGY,1999,366212581663.713,0.91943542027353,68.357,3.432,67515591.0
ERI,1999,3533649355.4762,2.31856149221601,54.707,5.43,2237412.0
ESP,1999,805891424628.996,2.5411710377137,78.7170731707317,1.17,40386875.0
EST,1999,11694825363.5915,6.46101754257364,70.0634146341463,1.3,1390244.0
ETH,1999,29446594243.9228,2.22272296463859,51.366,6.664,64343008.0
FIN,1999,127934744369.414,0.927035885223574,77.2912195121951,1.73,5165474.0
FJI,1999,4703463406.69275,6.73182094422087,65.512,3.132,806302.0
FRA,1999,1470523899441.7,0.203811154729848,78.7560975609756,1.81,60496708.0
FRO,1999,,,78.2317073170732,2.3,46428.0
FSM,1999,249105322.204237,-0.784597582283723,64.413,4.39,107769.0
GAB,1999,16938747928.9375,19.191335888387,58.646,4.62,1199058.0
GBR,1999,1435578291557.54,1.34230672494529,77.390243902439,1.68,58682466.0
GEO,1999,12139872995.0321,9.72674960057817,69.756,1.643,4157192.0
GHA,1999,32168397251.3984,13.971165047912,56.972,4.899,18812369.0
GIB,1999,,,,,30526.0
GIN,1999,9614095318.5051,4.22767530655115,51.295,6.147,8054745.0
GMB,1999,2334719455.3715,-2.43549436370589,55.547,5.908,1277118.0
GNB,1999,1193657421.1524,12.3060662570681,49.999,5.913,1177133.0
GNQ,1999,4316220022.03928,39.1576256709104,52.93,5.878,581765.0
GRC,1999,198711870247.148,3.62273397235961,77.9878048780488,1.23,10761698.0
GRD,1999,731754001.848061,1.12148933209397,72.455,2.666,102429.0
GRL,1999,,1.06045632023837,66.3590243902439,2.415,56100.0
GTM,1999,52046949577.7614,5.04155798311092,67.351,4.699,11311078.0
GUM,1999,,,74.646,2.846,153955.0
GUY,1999,4447139700.01352,11.2105069504252,64.964,3.036,749676.0
HKG,1999,170834978086.789,-4.09580238935787,80.3829268292683,0.981,6606500.0
HND,1999,15509539250.2388,7.57572728281066,70.378,4.367,6397140.0
