BODY_NO;GENDER;CLOTHING;ESTIMATED_AGE
1;male;"Overcoat, grey; one grey coat; one blue coat; grey woolen jersey; white shirt; grey knickers; black stockings; black boots ";
2;male;"Brown tweed coat; white steward's jacket; brown waist coat; Blue serge trousers; black shoes; White Star cap. MARKS ON CLOTHES - ""G. Levett"" ";24.0
3;female;"Grey cloth jacket; red jersey jacket; blue alpaca blouse; blue serge skirt; Woolen combinations; black stockings; black boots; grey cholera belt; one suede glove, grey. ";40.0
4;male;"Grey coat with fur on collar and cuffs; brown serge frock; Petticoat; flannel garment; pink woolen singlet; brown shoes and stockings. ";2.0
5;female;"Blue waterproof; black jacket and skirt; pink and white striped jacket; blue and red petticoat and fur boa; black boots and ribbed stockings. ";
6;male;"Blue serge coat and vest; black trousers; blue and white check Shirt; no socks; black boots. ON RIGHT HAND - Blue tattoo mark, and copper wire ring on right thumb. ";
7;female;"Blue waterproof; black skirt and undershirt; white undervest and Chemise; black lawn shoes and black stockings; set false upper teeth. ";6.0
8;female;"Red striped skirt; green petticoat; grey ditto; knitted ditto; blue flanelette drawers; black button boots and rubbers, size 8; thick grey stockings. ";25.0
9;male;"Grey mixture suit; handkerchief with blue border. ";22.0
10;male;;25.0
11;male;"Black coat; blue trousers; black boots. ";45.0
12;female;"Black velvet coat; jacket and skirt; blue cardigan; black apron; black boots and stockings. ";
13;female;"Green cotton blouse; blue ditto underneath; striped cotton skirt; blue petticoat; one shoe. ";30.0
14;male;"Green overcoat; blue serge suit; red striped shirt; two scarves. ";
15;male;"Grey overcoat with green lining; brown suit. ";
16;male;"Dark grey overcoat; black suit; black gloves; underclothing; marked "" G. R"". ";50.0
17;male;"Grey overcoat; brown suit; handkerchief, ""J. Chapman"". ";30.0
18;male;"Dark suit; white shirt with green stripe; knitted socks; black boots. ";
19;male;"Dressing gown; grey coat; green ditto; blue trousers. ";50.0
20;male;"Blue coat; blue White Star jersey; blue trousers; one black boot; green socks. ";28.0
21;male;"Grey tweed coat; Steward's jacket, vest and trousers; washing mark ""F"". ";25.0
22;male;"Blue overcoat; blue suit; white dress waistcoat; black boots and purple socks; two vests marked ""R. A.""; pink drawers also marked ""R. A."" ";60.0
23;male;"Striped Steward's coat marked ""W. A. Storr""; Steward's vest and apron; shirt marked ""L. Turner."" ";25.0
24;male;"Blue jersey; blue and red flannel shirt; green trousers; no socks; black boots. ";20.0
25;male;"Grey overcoat, white coat marked ""A. Hayter""; blue steward's coat, vest and pants; black boots; two pairs trousers; green and white shirt. ";45.0
26;male;"Blue serge jacket; white steward's coat; check cotton trousers; flannel singlet; belt. ";32.0
27;male;"Pilot cloth overcoat; striped flannel coat; black trousers ; vest; singlet; black button boots, cloth uppers. ";19.0
28;male;"Black coat; grey trousers; check shirt; black boots. ";30.0
29;male;"Blue jersey; blue trousers; grey flannel underwear; black boots and socks. ";22.0
30;male;"Blue coat; dungaree trousers; grey flannel underwear; S. & F. union badge. ";22.0
31;male;"Brown coat and trousers; no socks; striped shirt; purple knitted tie. ";35.0
32;male;"Green coat and trousers; black socks and boots. ";30.0
33;male;"Brown boiler suit; grey flannel shirt and belt. ";30.0
34;male;Blue suit and green shirt. ;34.0
35;male;"Black coat; grey mixture tweed trousers and vest; red tie; black boots. ";40.0
36;male;Steward's uniform. ;35.0
37;male;"Striped trousers; blue coat and vest; striped shirt; black boots. ";30.0
38;male;"Black overcoat; grey suit; black and grey necktie; blue shirt; green pyjamas with black stripe; underclothes; patent leather shoes; four gold teeth, top left, and five below left. ";
39;male;"Evening dress trousers; black double breasted overcoat; brown jacket and vest; no boots. ";25.0
40;male;"Brown covert coat; White Star blue jersey; blue coat and vest. ";28.0
41;male;"D. B. coat and pants; white steward's jacket marked ""J. Stone""; black boots and socks. ";22.0
42;male;"Green striped coat; blue pants and vest; no shirt; black boots. ";45.0
43;male;"Blue serge suit; white shirt with black spots; brown boots. ";32.0
44;male;"Stewards coat with blue pants' white shirt, marked "" F. W. I."" ";21.0
45;male;"Grey overcoat marked ""E. K., inside pocket; black suit; striped shirt; black boots. ";32.0
46;male;"Black coat, vest and trousers; black boots. ";60.0
47;male;"Grey coat, vest and pants; green shirt. ";30.0
48;male;"Steward's coat, vest and trousers; flannel shirt. ";35.0
49;male;"Black coat; Steward's white coat; black trousers. ";40.0
50;male;"Black coat; no vest, blue striped flannel shirt. ";30.0
51;male;"Striped green and grey cloth suit; brown striped shirt; black boots. ";
52;female;"Black coat and skirt; fur boa; striped cotton chemise; woolen singlet; black button boots; stockings. ";60.0
53;female;"Brown velvet coat; sailor blouse; white, with blue anchor on front; blue flannel petticoat with ""E. M. C.""; blue corsets; blue skirt with black braid; black stockings and shoes. ";23.0
54;female;"Black coat and skirt; black beaded blouse; grey knickers; black boots and stockings. One gold tooth on top. ";40.0
55;female;"Black coat and skirt; black underskirt; grey petticoat; camisole with violet ribbon threaded through; woolen singlet; black stockings much darned at left knee; black shoes. ";30.0
56;male;"Blue coat; striped trousers; flannel shirt; woolen singlet and drawers; black boots and socks. ";40.0
57;male;;35.0
58;male;"Dark mixture suit; check shirt; black boots; no marks on body or clothing. ";18.0
59;male;"Dark mixture suit; striped flannel shirt; black silk muffler; black shoes. ";35.0
60;male;"Blue coat; uniform vest; black trousers; black boots. ";43.0
61;female;"Green waterproof; black coat; skirt; blouse; red cardigan jacket; black button boots with cloth uppers. ";30.0
62;male;"Evening dress, with ""W. D. D."" on shirt. ";55.0
63;female;"Blue dress and blouse; black shoes. ";22.0
64;male;"Officers' uniform; double breasted uniform. ";34.0
65;male;"Flannel shirt and drawers; serge trousers; no boots; ";25.0
66;male;"Blue serge suit; blue striped flannel shirt; black boots and socks. ";50.0
67;male;"Grey suit (knickers); striped shirt; black boots and stockings. ";14.0
68;male;"Dark suit; black boots; grey socks. ";40.0
69;male;"Dark suit; black boots and socks. ";24.0
70;male;"Dark suit, vest and trousers; white socks; black boots. ";34.0
71;male;"Blue uniform suit; black boots; ""hospital attendant' on coat; pants marked ""M. O."" ";45.0
72;male;"Dark suit; brown socks; striped shirt; singlet marked ""M. A.""; no other marks. ";30.0
73;male;"Uniform jacket; brown boiler suit; black boots; flannel singlet; black socks. ";35.0
74;male;"Dark trousers; pajamas; jacket; black socks. ";36.0
75;male;"Dark overcoat; dark suit; black socks; black boots; striped shirt. ";28.0
76;female;"Light skirt; blue drawers; striped stockings; black boots. ";24.0
77;male;"Dark suit; leather belt; flannel shirt. ";30.0
78;male;"Dungaree coat and trousers; flannel singlet; no boots or socks. ";40.0
79;male;"Black coat; velvet vest; check trousers; green socks; black boots. ";35.0
80;male;"Evening dress; grey leather-lined overcoat; black boots. ";45.0
81;male;"Blue serge coat and trousers; grey cardigan; white shirt; flannel singlet. ";35.0
82;male;"Dark suit; steward's white coat; white shirt; black button boots. ";27.0
83;male;"Dark suit; steward's waistcoat with buttons, and white coat. ";18.0
