person_id,lifeboat,body_no,death_date
1,,,1912-04-15
2,,,1912-04-15
3,boat A,,1946-02-18
4,,190.0,1912-04-15
5,boat 16,,1969-07-27
6,boat A,,1980-12-04
7,,,1972-01-18
8,,,1972-01-18
9,,,1912-04-15
10,boat 15,,1961-08-16
11,,,1912-04-15
12,,,1947-04-21
13,,9.0,1912-04-15
14,,,
15,,,1912-04-15
16,,,1912-04-15
17,,,1912-04-15
18,,,1912-04-15
19,,,1967-06-22
20,boat 11,,1991-07-15
21,,,1912-04-15
22,,,1912-04-15
23,,,1912-04-15
24,,,1912-04-15
25,,79.0,1912-04-15
26,boat 2,,1967-12-15
27,,,1912-04-15
28,,,1912-04-15
29,,,1912-04-15
30,,135.0,1912-04-15
31,boat 11,,1929-08-07
32,,,1912-04-15
33,,260.0,1912-04-15
34,,260.0,1912-04-15
35,boat 16,,1980-03-14
36,boat 3,,1951-11-23
37,,,1912-04-15
38,,,1912-04-15
39,,,1912-04-15
40,,,1912-04-15
41,,,1912-04-15
42,,,
43,,,1912-04-15
44,,,1912-04-15
45,,,1912-04-15
46,,,1912-04-15
47,,,1912-04-15
48,,,1912-04-15
49,,,1912-04-15
50,,,1912-04-15
51,boat 10,,1913-12-04
52,,,1912-04-15
53,boat 11,,1969-08-20
54,,,1912-04-15
55,boat 2,,1924-06-25
56,,,1912-04-15
57,,,1912-04-15
58,,,1912-04-15
59,,,1912-04-15
60,,,1912-04-15
61,,,1912-04-15
62,,,1912-04-15
63,,,1912-04-15
64,,142.0,1912-04-15
65,,,1912-04-15
66,boat 10,,1983-03-01
67,,,1912-04-15
68,boat 13,,1943-08-14
69,boat 10,,2006-05-06
70,boat 10,,1964-04-15
71,,,1912-04-15
72,,,1912-04-15
73,,,1912-04-15
74,boat 4,,1940-03-27
75,,,1912-04-15
76,,,1912-04-15
77,boat 9,,1964-10-29
78,,,1912-04-15
79,,,1912-04-15
80,,,1970-12-03
81,,,1912-04-15
82,,,1947-06-30
83,boat C,,1946-07-17
84,,,1912-04-15
85,,,1912-04-15
86,,,1912-04-15
87,,,1912-04-15
88,boat 10,,1967-10-01
89,boat 10,,1967-10-01
90,,,1912-04-15
91,,,1912-04-15
92,,,1912-04-15
93,,,1912-04-15
94,boat 6,,1963-05-02
95,boat B,,1945-01-07
96,boat B,,1945-01-07
97,,,1912-04-15
98,,,1912-04-15
99,boat 8,,1960-07-23
100,boat 8,,1960-07-23
101,,,1912-04-15
102,,,1912-04-15
103,,,1912-04-15
104,boat 6,,1923-06-18
105,,,1912-04-15
106,,,1912-04-15
107,boat 9,,1948-10-24
108,boat 9,,1983-09-17
109,,,1912-04-15
110,,,1912-04-15
111,,,1912-04-15
112,boat 11,,1944-02-15
113,boat 11,,1961-02-15
114,boat 11,,1975-09-06
115,boat 13,,1990-07-06
116,boat 5,,1933-04-11
117,boat 5,,1955-02-11
118,boat 13,,1967-02-14
119,boat 5,,1949-10-15
120,,,1912-04-15
121,boat 12,,1977-12-15
122,,,1912-04-15
123,,,1912-04-15
124,boat 8,,1944-07-23
125,boat 4,,1938-09-24
126,,,
127,boat 8,,1949-09-11
128,,,1912-04-15
129,,,1912-04-15
130,boat 7,,1961-02-16
131,boat 7,,1916-03-15
132,,,1912-04-15
133,boat D,,1962-05-21
134,,,1912-04-15
135,boat 7,,1949-03-17
136,boat 8,,1950-03-13
137,boat 8,,1936-02-20
138,,,1912-04-15
139,,,1912-04-15
140,,,1912-04-15
141,,,1912-04-15
142,,,1912-04-15
143,,,1912-04-15
144,,,1912-04-15
145,,,1912-04-15
146,boat 4,,1945-05-03
147,boat 6,,1973-10-18
148,,,1912-04-15
149,,,1956-01-24
150,,,1912-04-15
151,,,1912-04-15
152,,,1912-04-15
153,,,
154,,208.0,1912-04-15
155,,,1912-04-15
156,,,1912-04-15
157,boat 9,,1942-07-16
158,,,1912-04-15
159,,,1912-04-15
160,,,1912-04-15
161,,,1912-04-15
162,,,1912-04-15
163,boat 11,,1976-06-30
164,boat 4,,1928-06-26
165,boat 14,,1997-01-20
166,boat 14,,1925-06-29
167,boat 6,,1932-10-26
168,,,1912-04-15
169,,,1960-07-07
170,boat 12,,1969-08-04
171,,,1912-04-15
172,,,1912-04-15
173,,,1918-10-15
174,boat 8,,1927-06-27
175,,,1912-04-15
176,boat 3,,1921-05-29
177,,,1912-04-15
178,boat 9,,1972-07-12
179,,97.0,1912-04-15
180,,,1912-04-15
181,,,1912-04-15
182,,,1912-04-15
183,,,1964-06-03
184,,,1912-04-15
185,,,1912-04-15
186,,,1912-04-15
187,,,1912-04-15
188,,,1912-04-15
189,,,1912-04-15
190,boat 5,,1961-04-05
191,boat 13,,1977-03-10
192,boat 13,,1977-03-10
193,boat 13,,1992-12-18
194,boat 13,,1992-12-18
195,boat 13,,1965-01-14
196,boat 14,,1962-02-02
197,,,1912-04-15
198,,,1912-04-15
199,,,1912-04-15
200,boat 6,,1949-08-23
201,,,1912-04-15
202,,,1912-04-15
203,,,1912-04-15
204,,18.0,1912-04-15
205,boat 3,,1939-08-01
206,boat 3,,1952-06-06
207,,,1912-04-15
208,,,1912-04-15
209,,,1912-04-15
210,,,1912-04-15
211,,,1912-04-15
212,,,1912-04-15
213,,,1934-12-26
214,,,1912-04-15
215,,,1912-04-15
216,boat 4,,1934-10-26
217,boat 4,,1962-10-19
218,boat C,,1940-03-20
219,boat 4,,1985-01-28
220,,,1912-04-15
221,,,1912-04-15
222,,,1912-04-15
223,boat 5,,
224,boat 6,,1963-01-16
225,,172.0,1912-04-15
226,,,1912-04-15
227,boat 11,,1931-07-04
228,,,1912-04-15
229,boat 5,,1959-10-18
230,boat 5,,1966-02-09
231,,130.0,1912-04-15
232,,,1912-04-15
233,,,1912-04-15
234,,,1912-04-15
235,boat 4,,1962-08-13
236,boat 8,,1965-05-04
237,boat 7,,1914-02-20
238,boat 6,,1953-10-08
239,,,
240,,,1912-04-15
241,,,1912-04-15
242,,,1939-07-07
243,,,1939-07-07
244,,,1931-10-30
245,,,1912-04-15
246,,,1912-04-15
247,boat 4,,1958-12-21
248,,,1912-04-15
249,boat 14,,1953-02-08
250,boat 14,,1953-02-08
251,,,1912-04-15
252,,202.0,1912-04-15
253,boat 11,,1984-11-01
254,boat 11,,1984-11-01
255,,,1912-04-15
256,,,1912-04-15
257,boat 12,,1978-08-04
258,,,1912-04-15
259,,,1912-04-15
260,,,1912-04-15
261,boat 9,,1941-03-20
262,,,1912-04-15
263,,,
264,boat 14,,1916-11-28
265,,,1912-04-15
266,boat 14,,1965-02-26
267,,,1912-04-15
268,,,1912-04-15
269,boat 14,,1930-12-04
270,boat 14,,1952-06-16
271,,,1912-04-15
272,,,1912-04-15
273,boat 13,,1948-07-03
274,,,1912-04-15
275,,171.0,1912-04-15
276,,,1912-04-15
277,boat 14,,1964-09-12
278,,,1912-04-15
279,,,1912-04-15
