movieId,title,genres
113709,"Trans-Atlantic Tunnel (Tunnel, The) (1935)",Drama|Sci-Fi
61167,Henry Poole is Here (2008),Drama|Mystery
5566,Heartbreak Hospital (2002),Comedy|Thriller
53046,Desperation (2006),Drama|Fantasy|Horror|Mystery|Thriller
115933,LEGO Hero Factory: Rise of the Rookies (2010),Action|Children
119800,Family Way (2012),Comedy|Romance
1242,Glory (1989),Drama|War
140866,Scusate se esisto! (2014),Comedy|Romance
110892,Mortified Nation (2013),Comedy|Documentary
723,Two Friends (1986),Drama
1369,I Can't Sleep (J'ai pas sommeil) (1994),Drama|Thriller
123681,Wanda Sykes: I'ma Be Me (2009),Comedy
52942,At Five in the Afternoon (Panj é asr) (2003),Drama
55671,"Sea Wolf, The (1941)",Adventure|Drama
107159,Zatoichi and the Chest of Gold (Zatôichi senryô-kubi) (Zatôichi 6) (1964),Action|Drama
69971,Ludwig (1972),Drama
66665,Away We Go (2009),Comedy|Drama|Romance
6142,Time Walker (a.k.a. Being From Another Planet) (1982),Horror|Sci-Fi
3247,Sister Act (1992),Comedy|Crime
71129,Green Lantern: First Flight (2009),Action|Adventure|Animation|Fantasy|Sci-Fi
86504,Voices from the List (2004),Documentary
69964,"Giant of Marathon, The (Battaglia di Maratona, La) (1959)",Action|Drama|War
26336,"Adventure of Sherlock Holmes' Smarter Brother, The (1975)",Comedy|Crime|Mystery
131437,Moby Dick (2011),Action|Horror|Thriller
5008,Witness for the Prosecution (1957),Drama|Mystery|Thriller
853,Dingo (1991),Drama
4105,"Evil Dead, The (1981)",Fantasy|Horror|Thriller
91954,One Trick Pony (1980),Drama
118756,The Scapegoat (1963),Drama
138366,A Quiet Life (2010),Drama
26222,Dodes'ka-den (Clickety-Clack) (1970),Drama|Fantasy
103920,"All Together, The (2007)",Comedy|Drama|Romance
4394,Beach Blanket Bingo (1965),Comedy|Musical
95796,Anaconda: The Offspring (2008),Action|Horror|Sci-Fi|Thriller
75805,"Bounty Hunter, The (2010)",Action|Comedy|Romance
80217,Hated (1994),Documentary
5849,I'm Starting From Three (Ricomincio da Tre) (1981),Comedy
5736,Faces of Death 3 (1985),Documentary|Horror
5984,"Story of O, The (Histoire d'O) (1975)",Drama|Romance
65932,Blue (1968),Romance|Western
55782,Citizen Dog (Mah nakorn) (2004),Comedy|Fantasy|Romance
60728,Steal a Pencil for Me (2007),Documentary|Romance
1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
101415,"First Time, The (2012)",Comedy|Drama|Romance
108473,"Laterna, ftoheia kai garyfallo (1958)",Comedy|Drama|Romance
97494,"Return of Frank Cannon, The (1980)",Action|Crime|Drama|Mystery|Thriller
145733,(The New) War of the Buttons (2011),Adventure|Children
125511,The Legend of Bloody Mary (2008),Horror|Mystery|Thriller
127498,Private Confessions (1996),Drama
138218,Meet Him And Die (1976),(no genres listed)
101799,Americano (2005),Adventure|Comedy|Documentary
125277,Station West (1948),Action|Mystery|Romance|Western
88814,Fjols til fjells (1957),Comedy
136590,The Thirteenth Year (1999),(no genres listed)
135214,Skills Like This (2007),Comedy
45880,Marie Antoinette (2006),Drama|Romance
92309,"Innkeepers, The (2011)",Horror|Thriller
117326,Take the Trash (2008),Comedy
81643,Flame of Barbary Coast (1945),Romance|Western
80033,"President's Man, The (2000)",Action|Adventure|Thriller
93008,"Very Potter Sequel, A (2010)",Comedy|Musical
146291,Rocktober Blood (1984),Horror
146026,Beyond Innocence (1989),(no genres listed)
107569,Tenderness (Hellyys) (1972),Comedy
111856,7500 (2014),Action|Horror|Mystery|Thriller
103413,Flicker (Flimmer) (2012),Comedy|Drama
96193,Captain Video: Master of the Stratosphere (1951),Adventure|Sci-Fi
146032,The First Teacher (1965),Drama
6121,Querelle (1982),Drama
121135,Nurse 3D (2013),Horror|Thriller
145150,The Dressmaker (2015),Comedy|Drama|Thriller
7649,Babylon 5: In the Beginning (1998),Adventure|Sci-Fi
32770,Brothers (Brødre) (2004),Drama
5795,"Big Knife, The (1955)",Film-Noir
43567,Sweet November (1968),Drama
27822,Open Water (2003),Drama|Thriller
618,Two Much (1995),Comedy|Romance
98284,Fire Over England (1937),Adventure|Romance|War
30800,"Wrong Box, The (1966)",Comedy
47646,Idlewild (2006),Crime|Drama|Musical
125543,Against The Sun (2015),Adventure
33994,Silent Witness (Do Not Disturb) (1999),Action|Comedy|Thriller
47950,Hollywoodland (2006),Crime|Drama|Mystery|Thriller
2641,Superman II (1980),Action|Sci-Fi
106092,Disfigured (2008),Drama
7056,"Public Enemy, The (1931)",Action|Crime|Drama
144526,The Doll Master (2004),Horror
107966,Caught (1987),Drama
111783,Neverland (2011),Adventure|Fantasy
140459,The Dukes of Hazzard: Reunion! (1997),Action|Adventure
33027,Snake and Crane Arts of Shaolin (She hao ba bu) (1978),Action|Drama
79953,With a Song in My Heart (1952),Drama|Musical
51617,Unfaithfully Yours (1984),Comedy|Romance
105368,I Declare War (2012),Action|Comedy|Drama
98080,"Tomb, The (2007)",Horror|Thriller
4435,Colonel Redl (Oberst Redl) (1985),Drama
