id,name,pop,german hip hop,dance pop,pop urbaine,french hip hop,latin,reggaeton,trap latino,rap,hip hop
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,0,0,1,0,0,0,0,0,0,0
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,0,0,1,0,0,0,0,0,0,0
0GgY7hjMoGDsX8ZDe2mwds,Soolking,0,0,0,1,1,0,0,0,0,0
0xRXCcSX89eobfrshSVdyu,MEDUZA,1,0,0,0,0,0,0,0,0,0
6W5uA6CNMf3hd2j4a2XWCx,Naps,0,0,0,1,1,0,0,0,0,0
4dpARuHxo51G3z768sgnrY,Adele,1,0,0,0,0,0,0,0,0,0
7CUFPNi1TU8RowpnFRSsZV,Niska,0,0,0,1,1,0,0,0,0,0
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,1,0,1,0,0,0,0,0,0,0
7dL0nOHwnSAsNAwpkPSGWP,sangiovanni,0,0,0,0,0,0,0,0,0,0
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,0,0,1,0,0,0,0,0,0,0
67hb7towEyKvt5Z8Bx306c,Empire of the Sun,0,0,0,0,0,0,0,0,0,0
48R2gYdPKtfnfKAzhSVPUx,Migrantes,0,0,0,0,0,0,0,0,0,0
5f7VJjfbwm532GiveGC0ZK,Lil Baby,0,0,0,0,0,0,0,0,1,0
18ISxWwWjV6rPLoVCXf1dz,RIN,0,1,0,0,0,0,0,0,0,0
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,0,0,0,0,0,0,0,0,0,0
07SFzTMeYf5P8Rd32a9Zzw,AK AUSSERKONTROLLE,0,1,0,0,0,0,0,0,0,0
57n1OF36WvtOeATY6WQ6iw,Digga D,0,0,0,0,0,0,0,0,0,0
5M9Bb4adKAgrOFOhc05Y50,Pablo Alborán,0,0,0,0,0,1,0,0,0,0
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,0,0,0,0,0,1,0,0,0,0
4LwRgSkj7AJJTKLnEaHjMv,Lucio101,0,1,0,0,0,0,0,0,0,0
2NpPlwwDVYR5dIj0F31EcC,Leony,0,0,0,0,0,0,0,0,0,0
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,1,0,1,0,0,0,0,0,0,0
1q7T9rFQ2a2ukA1PU51fo3,Koba LaD,0,0,0,1,1,0,0,0,0,0
33ScadVnbm2X8kkUqOkC6Z,Don Omar,0,0,0,0,0,1,1,0,0,0
5TYxZTjIPqKM8K8NuP9woO,C. Tangana,0,0,0,0,0,0,0,0,0,0
0elWFr7TW8piilVRYJUe4P,Natanael Cano,0,0,0,0,0,0,0,0,0,0
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,0,0,0,0,0,0,0,0,0,0
4axKuDPr6WKcDCyh8vueTY,Luar La L,0,0,0,0,0,0,0,1,0,0
1qQLhymHXFPtP5U8KNKsm6,Apache 207,0,1,0,0,0,0,0,0,0,0
1EXjXQpDx2pROygh8zvHs4,Melendi,0,0,0,0,0,0,0,0,0,0
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,0,0,0,0,0,0,0,0,1,1
1KCSPY1glIKqW2TotWuXOR,P!nk,1,0,1,0,0,0,0,0,0,0
5C4PDR4LnhZTbVnKWXuDKD,Morat,0,0,0,0,0,1,0,0,0,0
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,0,0,0,0,0,0,0,0,1,1
3QVolfxko2UyCOtexhVTli,Angèle,0,0,0,0,0,0,0,0,0,0
7iK8PXO48WeuP03g8YR51W,Myke Towers,0,0,0,0,0,0,0,1,0,0
2IMZYfNi21MGqxopj9fWx8,Rels B,0,0,0,0,0,0,0,1,0,0
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,1,0,1,0,0,0,0,0,0,0
39KEQQAG9JhIt71g9NEVhh,Azet,0,1,0,0,0,0,0,0,0,0
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,1,0,0,0,0,0,0,0,0,0
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,0,0,0,0,0,0,0,0,0,0
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,0,0,0,0,0,0,0,0,0,0
3y24n3XhZ96wgwRXjvS17T,Coolio,0,0,0,0,0,0,0,0,1,1
6KImCVD70vtIoJWnq6nGn3,Harry Styles,1,0,0,0,0,0,0,0,0,0
768O5GliF0bqscyghggrbE,Polimá Westcoast,0,0,0,0,0,0,0,1,0,0
50co4Is1HCEo8bhOyUWKpn,Young Thug,0,0,0,0,0,0,0,0,0,1
2NJWI8byqTSqDaJRnqJY2z,KALIM,0,1,0,0,0,0,0,0,0,0
4m6ubhNsdwF4psNf3R8kwR,KHEA,0,0,0,0,0,0,0,1,0,0
3FtVhV92rZyHa7ot2ioG5a,El Bobe,0,0,0,0,0,0,0,1,0,0
6LuN9FCkKOj5PcnpouEgny,Khalid,1,0,0,0,0,0,0,0,0,0
3utZ2yeQk0Z3BCOBWP7Vlu,CRO,0,1,0,0,0,0,0,0,0,0
56ZTgzPBDge0OvCGgMO3OY,Beach House,0,0,0,0,0,0,0,0,0,0
4az97MtWmBQ5Db3GfDh9j9,Morad,0,0,0,0,0,0,0,0,0,0
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,1,0,0,0,0,0,0,0,0,0
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,0,0,0,0,0,0,0,0,0,0
3GxKJzJK4LpsYGXQrw77wz,Mimi Webb,1,0,1,0,0,0,0,0,0,0
716NhGYqD1jl2wI1Qkgq36,Bizarrap,0,0,0,0,0,0,0,1,0,0
1Yfe3ONJlioHys7jwHdfVm,Lomepal,0,0,0,0,1,0,0,0,0,0
7ACEUD7UsmmXrnj4OLt8f9,twocolors,0,0,1,0,0,0,0,0,0,0
3bvfu2KAve4lPHrhEFDZna,Lola Indigo,0,0,0,0,0,0,0,0,0,0
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,0,0,0,0,0,0,0,0,0,0
1E8mXBWN7AXZCOPYbOky4J,Jazeek,0,1,0,0,0,0,0,0,0,0
1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,0,0,0,0,0,1,1,0,0,0
2CCgb0KApjfQDuTppovpf8,Rvfv,0,0,0,0,0,0,0,1,0,0
3Hvx3BM0K4FHBs9J3k8G6V,NGEE,0,1,0,0,0,0,0,0,0,0
5H4yInM5zmHqpKIoMNAx4r,Central Cee,0,0,0,0,0,0,0,0,0,0
2z2TRvloJt4EfUNQp9rHAi,Alonzo,0,0,0,1,1,0,0,0,0,0
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,1,0,1,0,0,0,0,0,0,0
3lY9Fxceu60W1rbon7PkuF,Omar Montes,0,0,0,0,0,0,0,1,0,0
0C0XlULifJtAgn6ZNCW2eu,The Killers,0,0,0,0,0,0,0,0,0,0
0oxWjDXa2iXcVB11n8RY3U,BOJAN,0,1,0,0,0,0,0,0,0,0
4Gso3d4CscCijv0lmajZWs,Don Toliver,1,0,0,0,0,0,0,0,1,0
1QJbbsxg2wqidJj51d3otw,Natos y Waor,0,0,0,0,0,0,0,0,0,0
7I2JG3CcPawkeQPE7uypHJ,HBz,0,0,0,0,0,0,0,0,0,0
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,0,0,0,0,0,0,0,1,0,0
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,0,0,0,0,0,0,0,1,0,0
0oeiA5U9u1U45Gos5cywUU,Soso Maness,0,0,0,1,1,0,0,0,0,0
3Z3aTg9PwJ37e8xeO0aUC9,01099,0,1,0,0,0,0,0,0,0,0
3pVfscwg2QxhdHtk966inb,The Cratez,0,0,0,0,0,0,0,0,0,0
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,1,0,1,0,0,0,0,0,0,0
2JwyRtuXf2l6sTnSnGVIa1,Farid Bang,0,1,0,0,0,0,0,0,0,0
0Y6dVaC9DZtPNH4591M42W,TV Girl,0,0,0,0,0,0,0,0,0,0
10exVja0key0uqUkk6LJRT,Vance Joy,1,0,0,0,0,0,0,0,0,0
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,1,0,1,0,0,0,0,0,0,0
66Ok6bgC570sHkw08N20pZ,OBOY,0,0,0,1,1,0,0,0,0,0
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,0,0,0,0,0,0,0,0,1,0
5Q30fhTc0Sl0Q4C5dOjhhQ,La La Love You,0,0,0,0,0,0,0,0,0,0
56oDRnqbIiwx4mymNEv7dS,Lizzo,1,0,1,0,0,0,0,0,0,0
5rGrDvrLOV2VV8SCFVGWlj,Imanbek,0,0,1,0,0,0,0,0,0,0
4BFLElxtBEdsdwGA1kHTsx,ElGrandeToto,0,0,0,0,0,0,0,0,0,0
7gU9VyFRN3JWPJ5oHOil60,Tayc,0,0,0,1,0,0,0,0,0,0
4EPJlUEBy49EX1wuFOvtjK,Becky Hill,1,0,1,0,0,0,0,0,0,0
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,0,0,0,0,0,0,0,0,0,0
6veh5zbFpm31XsPdjBgPER,BIA,1,0,0,0,0,0,0,0,0,0
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,1,0,1,0,0,0,0,0,0,0
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,0,0,0,0,0,1,1,0,0,0
4LXBc13z5EWsc5N32bLxfH,Nekfeu,0,0,0,1,1,0,0,0,0,0
