site_id,site,country,site_type,site_area,elevation,date,pm10,pm2.5,no2,o3,so2
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-01,18.279,16.07,6.234,28.1,0.38
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-02,13.359,12.36,9.243,24.121,0.339
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-03,11.934,10.135,17.199,16.999,0.404
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-04,8.834,7.792,6.28,50.592,0.408
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-05,5.947,5.075,4.881,69.127,0.383
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-06,7.881,6.741,5.108,66.894,0.4
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-07,13.272,12.089,6.193,49.671,0.384
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-08,24.625,20.094,7.953,37.271,0.32
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-09,5.894,5.213,5.092,70.622,0.354
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-10,3.128,2.709,4.673,67.812,0.409
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-11,5.314,4.481,5.209,67.043,0.449
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-12,9.211,8.048,6.281,64.064,0.371
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-13,18.184,15.823,7.628,37.307,0.372
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-14,8.724,7.736,3.855,79.058,0.355
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-15,6.867,6.224,3.136,61.45,0.351
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-16,3.65,3.351,3.345,71.222,0.306
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-17,6.99,6.402,4.45,61.603,0.304
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-18,8.287,7.47,5.667,66.312,0.328
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-19,10.081,9.291,8.197,53.172,0.793
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-20,12.705,11.649,10.084,54.399,1.046
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-21,8.551,8.016,8.176,51.444,0.749
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-22,11.867,11.215,8.735,46.872,0.792
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-23,16.109,15.144,15.051,35.998,1.666
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-24,15.805,14.738,13.762,41.788,1.46
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-25,12.942,11.847,6.881,49.338,0.804
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-26,24.284,21.913,10.829,44.346,0.405
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-27,15.95,14.846,10.368,50.714,1.288
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-28,16.485,15.416,8.831,56.927,1.244
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-29,14.696,13.639,6.077,68.981,0.79
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-30,15.872,14.587,9.325,69.018,0.422
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-01-31,3.487,2.881,3.986,74.981,0.357
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-01,2.506,2.148,3.53,74.716,0.337
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-02,1.736,1.444,3.939,75.809,0.361
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-03,1.656,1.435,3.3,74.421,0.352
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-04,2.66,2.155,2.345,75.889,0.508
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-05,5.34,4.919,2.594,70.562,0.764
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-06,15.315,13.697,7.5,63.345,1.722
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-07,26.132,23.586,13.566,61.251,3.641
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-08,24.335,21.802,11.318,65.262,1.484
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-09,28.787,25.96,9.618,80.166,1.312
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-10,26.994,21.855,9.747,71.154,1.645
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-11,22.951,18.222,11.09,74.839,0.644
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-12,14.315,12.093,9.103,72.165,0.594
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-13,11.877,9.372,11.656,60.308,0.51
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-14,16.211,13.276,8.939,58.478,0.626
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-15,27.718,22.507,9.568,53.512,0.39
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-16,35.923,28.396,14.703,45.081,0.291
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-17,27.504,22.499,13.593,39.24,0.396
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-18,5.994,4.597,6.239,74.34,0.381
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-19,1.982,1.411,4.516,75.985,0.314
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-20,5.383,3.841,4.261,73.019,0.338
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-21,3.913,2.607,4.62,88.203,0.435
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-22,10.84,8.38,6.644,76.282,0.469
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-23,26.147,20.436,8.84,70.726,0.662
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-24,30.349,23.108,9.313,72.92,0.427
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-25,3.616,2.702,4.099,86.195,0.261
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-26,4.54,3.833,3.105,79.287,0.439
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-27,8.809,7.149,4.983,75.228,1.489
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-02-28,20.409,15.759,7.648,77.309,1.472
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-01,31.552,23.054,14.543,65.115,3.593
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-02,37.824,28.642,15.6,91.436,3.102
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-03,37.098,27.704,17.047,94.236,2.742
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-04,26.713,20.867,11.607,84.152,0.73
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-05,10.247,8.259,5.941,83.86,0.309
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-06,18.463,13.573,8.766,71.964,0.618
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-07,22.191,18.002,8.84,68.688,0.461
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-08,18.442,14.429,8.352,83.506,0.379
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-09,6.548,4.289,5.438,96.808,0.311
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-10,9.875,6.703,6.248,89.875,0.414
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-11,3.522,1.948,3.379,92.392,0.301
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-12,7.429,5.8,4.607,97.843,0.606
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-13,12.981,9.061,5.335,97.914,0.5
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-14,6.137,3.305,4.759,92.739,0.363
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-15,5.323,3.607,3.993,93.717,0.42
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-16,12.376,8.603,5.368,93.811,0.549
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-17,15.248,10.449,4.786,102.715,0.467
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-18,18.599,12.254,5.134,114.141,8.809
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-19,22.986,17.072,6.745,112.218,2.996
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-20,19.392,14.607,9.04,106.169,0.763
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-21,13.327,6.941,6.396,90.233,0.501
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-22,17.71,10.729,5.297,95.298,0.499
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-23,28.81,19.028,5.639,125.571,0.559
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-24,27.741,18.022,7.169,119.982,0.672
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-25,2.036,1.466,3.134,101.484,0.327
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-26,2.486,1.825,2.767,99.032,0.342
at0ill1,Illmitz am Neusiedler See,austria,background,rural_regional,117.0,2023-03-27,3.026,2.154,3.802,90.006,0.375
