position,athlete,country,m100,longjump,shotput,highjump,m400,hurdles,discus,polevault,javelin,m1500
1,Niklas Kaul (GER),GER,11.27,7.19,15.1,2.02,48.48,14.64,49.2,5,79.05,255.7
2,Maicel Uibo (EST),EST,11.1,7.46,15.12,2.17,50.44,14.43,46.64,5.4,63.83,271.51
3,Damian Warner (CAN),CAN,10.35,7.67,15.17,2.02,48.12,13.56,42.19,4.7,62.87,280.77
4,Ilya Shkurenyov (ANA),ANA,11.02,7.61,14.71,2.11,49.36,14.28,48.75,5.2,59.56,281.95
5,Pierce Lepage (CAN),CAN,10.36,7.79,13.21,2.05,47.35,14.19,41.19,5.2,57.42,285.09000000000003
6,Janek Õiglane (EST),EST,10.94,7.32,15.2,1.96,49.14,15.13,43.37,5,72.46,276.24
7,Pieter Braun (NED),NED,11.16,7.47,15.26,2.02,48.79,14.59,45.59,4.8,59.84,275.62
8,Solomon Simmons (USA),USA,10.7,7.37,15.33,1.96,49.31,14.1,46.26,4.8,53.25,284.17
9,Thomas Van (BEL),BEL,11.38,7.2,13.78,2.08,50.89,14.8,46.17,5.3,63.67,283.95
10,Tim Nowak (GER),GER,11.12,7.07,14.69,2.02,49.6,14.6,45.02,4.9,56.76,262.18
11,Cedric Dubler (AUS),AUS,10.75,7.25,12.43,2.02,48.41,14.13,44.3,4.7,59.04,274.75
12,Paweł Wiesiołek (POL),POL,10.76,7.02,15.26,1.96,49.37,14.65,47.2,4.9,55,282.06
13,Vitaliy Zhuk (BLR),BLR,10.95,6.63,15.13,1.96,48.08,14.49,46.64,4.8,58.66,275.45
14,Harrison Williams (USA),USA,10.76,7.14,13.78,1.93,47.93,14.43,44.23,4.8,48.59,280.96
15,Fredrik Samuelsson (SWE),SWE,11.13,7.11,13.97,2.02,50.08,14.78,42.71,4.8,57.39,279.48
16,Keisuke Ushiro (JPN),JPN,11.44,6.9,14.31,1.9,51.42,15.26,48.41,4.5,61.36,292.12
