"name","essround","edition","proddate","cntry","idno","intagea","intgndr","vdcond","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","intlnga","intnum"
"ESS11inte02",11,"2.0","19.11.2024","AT",50014,62,2,1,1,2,5,5,2,,,,,,,1,0,"GER",3271
"ESS11inte02",11,"2.0","19.11.2024","AT",50030,48,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2348
"ESS11inte02",11,"2.0","19.11.2024","AT",50057,66,1,1,1,1,5,5,2,,,,,,,1,0,"GER",2893
"ESS11inte02",11,"2.0","19.11.2024","AT",50106,65,2,1,2,2,5,5,2,,,,,,,1,0,"GER",3157
"ESS11inte02",11,"2.0","19.11.2024","AT",50145,30,1,1,3,2,5,5,2,,,,,,,1,0,"GER",2595
"ESS11inte02",11,"2.0","19.11.2024","AT",50158,72,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2244
"ESS11inte02",11,"2.0","19.11.2024","AT",50211,69,1,1,1,2,5,5,2,,,,,,,1,0,"GER",2457
"ESS11inte02",11,"2.0","19.11.2024","AT",50212,60,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2762
"ESS11inte02",11,"2.0","19.11.2024","AT",50213,76,2,1,2,1,4,4,2,,,,,,,1,0,"GER",2150
"ESS11inte02",11,"2.0","19.11.2024","AT",50235,62,2,1,3,1,4,4,2,,,,,,,1,0,"GER",3271
"ESS11inte02",11,"2.0","19.11.2024","AT",50236,75,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2770
"ESS11inte02",11,"2.0","19.11.2024","AT",50238,39,2,1,3,2,4,4,2,,,,,,,1,0,"GER",2293
"ESS11inte02",11,"2.0","19.11.2024","AT",50240,53,1,1,1,3,4,5,2,,,,,,,1,0,"GER",3212
"ESS11inte02",11,"2.0","19.11.2024","AT",50248,63,2,1,3,3,4,4,2,,,,,,,1,0,"GER",2292
"ESS11inte02",11,"2.0","19.11.2024","AT",50270,48,1,1,1,2,4,5,2,,,,,,,1,0,"GER",2957
"ESS11inte02",11,"2.0","19.11.2024","AT",50281,52,2,1,2,2,5,5,2,,,,,,,1,0,"GER",2267
"ESS11inte02",11,"2.0","19.11.2024","AT",50310,68,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2699
"ESS11inte02",11,"2.0","19.11.2024","AT",50311,72,2,1,2,5,5,5,2,,,,,,,1,0,"GER",2244
"ESS11inte02",11,"2.0","19.11.2024","AT",50324,57,1,1,3,1,5,5,2,,,,,,,1,0,"GER",2982
"ESS11inte02",11,"2.0","19.11.2024","AT",50339,56,2,1,3,2,4,4,2,,,,,,,1,0,"GER",2248
"ESS11inte02",11,"2.0","19.11.2024","AT",50341,60,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2617
"ESS11inte02",11,"2.0","19.11.2024","AT",50349,72,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2244
"ESS11inte02",11,"2.0","19.11.2024","AT",50355,56,2,1,2,3,4,5,2,,,,,,,1,0,"GER",2447
"ESS11inte02",11,"2.0","19.11.2024","AT",50358,63,2,1,2,2,5,5,2,,,,,,,1,0,"GER",2862
"ESS11inte02",11,"2.0","19.11.2024","AT",50363,76,1,1,2,1,5,5,2,,,,,,,1,0,"GER",3124
"ESS11inte02",11,"2.0","19.11.2024","AT",50367,48,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2348
"ESS11inte02",11,"2.0","19.11.2024","AT",50375,63,2,1,2,2,4,4,2,,,,,,,1,0,"GER",3158
